Abalos	ʔ a b a l o s
Abao	ʔ aː b a w
Abapo	ʔ a b a p o
Abayon	ʔ a b a j o n
Abello	ʔ a b e l j o
Abesamis	ʔ a b e s a m i s
Ablanque	ʔ a b l a ŋ k e
Abra	ʔ a b ɾ a
Abragan	ʔ a b ɾ a ɡ a n
Acebedo	ʔ a s e b e d o
Acera	ʔ a s e ɾ a
Achondo	ʔ a t s o n d o
Actub	ʔ a k t u b
Adan	ʔ a d a n
Adbentista	ʔ a d b e n t i s t a
Adbiyento	ʔ a d b i j e n t o
Adlawan	ʔ ɐ d l a w a n
Adlawan	ʔ ɐ d l a w ɐ n
Adolfo	ʔ a d o l p o
Agapay	ʔ a ɡ a p a j
Agas	a ɡ ɐ s
Agcaoili	ʔ a ɡ k a o j l i
Agdao	ʔ a ɡ d a w
Agnila	ʔ a ɡ n i l a
Aguas	a ɡ w ɐ s
Aklan	ʔ a k l a n
Ala	ʔ a l a
Alangilan	ʔ a l a ŋ i l a n
Alcazar	ʔ a l k a s a ɾ
Alcoy	ʔ a l k o j
Aldeguer	ʔ a l d e ɡ e ɾ
Aleosan	ʔ a l j o s a n
Alfeche	ʔ a l p e t s e
Alfonso	ʔ a l p o n s o
Alforque	ʔ a l p o ɾ k e
Alindajao	ʔ a l i n d a h a w
Almagro	ʔ a l m a ɡ ɾ o
Almirante	ʔ a l m i ɾ a n t e
Alolor	ʔ a l o l o ɾ
Alvarado	ʔ a l b a ɾ a d o
Amapola	ʔ a m a p o l a
Ambrosio	ʔ a m b ɾ o s j o
Amerikana	ʔ a m e ɾ i k a n a
Amerikano	ʔ a m e ɾ i k a n o
Ampuan	ʔ a m p u w a n
Anak	ʔ a n a k
Anda	ʔ a n d a
Andaloc	ʔ a n d a l o k
Andrade	ʔ a n d ɾ a d e
Anduyan	ʔ a n d u j a n
Ang	ʔ a ŋ
Anggot	ʔ a ŋ ɡ o t
Antecamara	ʔ a n t e k a m a ɾ a
Antique	ʔ a n t i k e
Apayao	ʔ a p a j a w
Aragon	ʔ a ɾ a ɡ o n
Arcaya	ʔ a ɾ k a j a
Arcenal	ʔ a ɾ s e n a l
Ardiente	ʔ a ɾ d i j e n t e
Arellano	ʔ a ɾ e l j a n o
Arevalo	ʔ a ɾ e b a l o
Arman	ʔ a ɾ m a n
Armando	ʔ a ɾ m a n d o
Arnaiz	ʔ a ɾ n a ʔ i s
Arnel	ʔ a ɾ n e l
Arriesgado	ʔ a ɾ j e s ɡ a d o
Arsenia	ʔ a ɾ s e n j a
Artemio	ʔ a ɾ t e m j o
Arturo	ʔ a ɾ t u ɾ o
Asok	ʔ a s o k
Aton	ʔ a t o n
Auring	ʔ a w ɾ i ŋ
Austin	ʔ o s t i n
Avendaño	ʔ a b e n d a ɲ o
Ayuman	ʔ a j u m a n
Aznar	ʔ a s n a ɾ
Babao	b aː b a w
Bacalso	b a k a l s o
Baclayon	b a k l a j o n
Bacolod	b a k o l o d
Bacsarpa	b a k s a ɾ p a
Bacus	b a k u s
Badelles	b a d e l j e s
Bagnol	b a ɡ n o l
Baguio	b a ɡ j o
Balanay	b a l a n a j
Balatik	b a l a t i k
Balbuena	b a l b u w e n a
Balili	b a l i l i
Balilihan	b a l i l i h a n
Balingit	b a l i ŋ i t
Baltazar	b a l t a s a ɾ
Banaag	b a n a a ɡ
Banal	b a n a l
Bantayan	b ɐ n t aː j a n
Bantugan	b a n t u ɡ a n
Barrera	b a ɾ e ɾ a
Barrientos	b a ɾ j e n t o s
Bartilad	b a ɾ t i l a d
Barug	b a ɾ u ɡ
Basbas	b a s b a s
Basilan	b a s i l a n
Bataan	b a t a ʔ a n
Batanes	b a t a n e s
Batangas	b a t a ŋ ɡ a s
Bathala	b a t h a l a ʔ
Batikano	b a t i k a n o
Bautista	b a w t i s t a
Baylosis	b a j l o s i s
Bejasa	b e h a s a
Benguet	b e ŋ ɡ e t
Benito	b e n i t o
Berdin	b e ɾ d i n
Bernes	b e ɾ n e s
Berting	b e ɾ t i ŋ
Bibliya	b i b l i a
Bicada	b i k a d a
Biliran	b i l i ɾ a n
Binisaya	b i n i s a j a ʔ
Binolirao	b i n o l i ɾ a w
Bisayawa	b i s a j a w a ʔ
Biyernes	b i j e ɾ n e s
Biyernes	b i ɾ n i s
Blanco	b l a ŋ k o
Bogohanon	b o ɡ o h a n o n
Bohol	b o h o l
Bolotaolo	b o l o t a w l o
Bong	b o ŋ
Bongcawil	b o ŋ k a w i l
Bonghanoy	b o ŋ h a n o j
Bongo	b o ŋ o
Bonilla	b o n i l j a
Bonjoc	b o n h o k
Borbon	b o ɾ b o n
Borja	b o ɾ h a
Borongan	b o ɾ o n ɡ a n
Borres	b o r e s
Borromeo	b o ɾ o m e j o
Brandon	b ɾ a n d o n
Brigoli	b ɾ i ɡ o l i
Buanghog	b u a ŋ h o ɡ
Buangjug	b u a ŋ h o ɡ
Bucol	b u k o l
Budong	b u d o ŋ
Buenavista	b w e n a b i s t a
Bugtai	b u ɡ t a j
Buhangin	b u h a ŋ i n
Bukidnon	b u k i d n o n
Bulacan	b u l a k a n
Bulan	b u l a n
Bunawan	b u n a w a n
Bunye	b u n j e
Buot	b u o t
Busano	b u s a n o
Butalid	b u t a l i d
Butuan	b u t w a n
Caadlawon	k a a d l a w o n
Cabahug	k a b a h u ɡ
Caballero	k a b a l j e ɾ o
Cabanalan	k a b a n a l a n
Cabanlit	k a b a n l i t
Cabatuan	k a b a t u ʔ a n
Cabello	k a b e l j o
Cabigas	k a b i ɡ a s
Cabrera	k a b ɾ e ɾ a
Cabungcal	k a b u ŋ k a l
Cadeliña	k a d e l i ɲ a
Cadiz	k a d i s
Cagas	k a ɡ a s
Cagayan	k a ɡ a j a n
Caharian	k a h a ɾ i ʔ a n
Cahoy	k a h o j
Caibigan	k a j b i ɡ a n
Cajandig	k a h a n d i ɡ
Calamba	k a l a m b a
Calamba	k a l a m b a ʔ
Calceña	k a l s e n j a
Cale	k a l e
Calinan	k a l i n a n
Calingasan	k a l i ŋ a s a n
Calipayan	k a l i p a j a n
Calooy	k a l o ʔ i
Calumpang	k a l u m p a ŋ
Camiguin	k a m i ɡ i n
Caminero	k a m i n e ɾ o
Candijay	k a n d i h a j
Cantoja	k a n t o h a
Capalaran	k a p a l a ɾ a n
Capistrano	k a p i s t ɾ a n o
Capiz	k a p i s
Capuyan	k a p u j a n
Carcar	k a ɾ k a ɾ
Carlito	k a ɾ l i t o
Carlos	k a ɾ l o s
Carlota	k a ɾ l o t a
Carmela	k a ɾ m e l a
Carreon	k a ɾ e o n
Casals	k a s a l s
Casiano	k a s j a n o
Casilag	k a s i l a ɡ
Casiño	k a s i n j o
Casper	k a s p e ɾ
Castañeda	k a s t a ɲ e d a
Castaños	k a s t a ɲ o s
Castillo	k a s t i l j o
Castillon	k a s t i l j o n
Casupang	k a s u p a ŋ
Catadman	k a t a d m a n
Cataquiz	k a t a k i s
Catarina	k a t a ɾ i n a
Catigbian	k a t i ɡ b j a n
Catipay	k a t i p a j
Catmon	k a t m o n
Catubo	k a t u b o
Cavite	k a b i t e
Cayanong	k a j a n o ŋ
Cañete	k a ɲ e t e
Cebu	s e b u
Cerna	s e ɾ n a
Chantal	s i a n t a l
Charlene	s j a ɾ l i n
Charlotte	s j a ɾ l o t
Chavez	t s a b e s
Chiong	t s i j o ŋ
Chiongbian	t s o ŋ b j a n
Cimafranca	s i m a p ɾ a ŋ k a
Cipriano	s i p ɾ i a n o
Clyde	k l j a d
Cokaliong	k o k a l i j o ŋ
Coloma	k o l o m a
Comendador	k o m e n d a d o ɾ
Cometa	k o m e t a
Conchita	k o n t s i t a
Contreras	k o n t ɾ e ɾ a s
Cordova	k o ɾ d o b a
Corella	k o ɾ e l j a
Corominas	k o ɾ o m i n a s
Cortes	k o ɾ t e s
Cotabato	k o t a b a t o
Coñado	k o n j a d o
Crispin	k ɾ i s p i n
Cruz	k ɾ u s
Cuevas	k u w e b a s
Cutamora	k u t a m o ɾ a
Cuyugan	k u j u ɡ a n
Cyril	s a j ɾ i l
Cyril	s i ɾ i l
Cyrus	s a j ɾ u s
Daanglungsod	d a ʔ a ŋ l u ŋ s o d
Daanlungsod	d a ʔ a n l u ŋ s o d
Dabaw	d a b a w
Dacanay	d a k a n a j
Dacumos	d a k u m o s
Dagdagan	d a ɡ d a ɡ a n
Dagohoy	d a ɡ o h o j
Dale	d a l e
Dale	d e i l
Danilo	d a n i l o
Daroca	d a ɾ u k a
Davao	d a b a w
Dave	d e i b
Dayanghirang	d a j a ŋ h i ɾ a ŋ
Dayrit	d a j ɾ i t
Demafeliz	d e m a p e l i s
Denser	d e n s e ɾ
Dilao	d i l a w
Dimaano	d i m a a n o
Divinagracia	d i b i n a ɡ ɾ a s j a
Diyos	d i j o s
Domeng	d o m e ŋ
Dominggo	d o m i ŋ ɡ o
Dominguez	d o m i ŋ ɡ e s
Duavis	d u a b i s
Duhaylungsod	d u h a j l u ŋ s o d
Dumaguete	d u m a ɡ e t e
Dumanjug	d u m a ŋ h u ɡ
Dunggoan	d u ŋ ɡ o ʔ a n
Duran	d u ɾ a n
Duterte	d u t e ɾ t e
Edlyn	ʔ e d l i n
Edsel	ʔ e d s e l
Eduardo	ʔ e d u a ɾ d o
Eguia	ʔ e ɡ i j a
Elpidio	ʔ e l p i d j o
Eltanal	ʔ e l t a n a l
Emak	ʔ e m a k
Emborong	ʔ e m b o ɾ o ŋ
Enad	ɛː n a d
Encajas	ʔ e ŋ k a h a s
Erning	ʔ e ɾ n i ŋ
Escaño	ʔ e s k a ɲ o
Escocia	ʔ e s k o s i j a
Esmar	ʔ e s m a ɾ
Esmeralda	ʔ e s m e ɾ a l d a
Espanyol	ʔ e s p a n j o l
Espina	ʔ e s p i n a
Estillore	ʔ e s t i l j o ɾ e
Estrella	ʔ e s t ɾ e l j a
Ethel	ʔ e t e l
Eulogia	ʔ e w l o h i j a
Fabian	p a b i j a n
Fabillar	p a b i l j a ɾ
Felisa	p e l i s a
Fernando	p e ɾ n a n d o
Flaviano	p l a b j a n o
Flores	p l o ɾ e s
Fonacier	p o n a s j e ɾ
Formentera	p o ɾ m e n t e ɾ a
Fortich	p o ɾ t i t s
Fortunado	p o ɾ t u n a d o
Francis	p ɾ a n s i s
Francisco	p ɾ a n s i s k o
Fuentes	p u w e n t e s
Gabo	ɡ a b o
Gabutan	ɡ a b u t a n
Gaite	ɡ a j t e
Gallardo	ɡ a l j a ɾ d o
Galolo	ɡ a l o l o
Gamay	ɡ a m a j
Garcia	ɡ a ɾ s i j a
Gary	ɡ a ɾ i
Gatchalian	ɡ a t s a l j a n
Gatpandan	ɡ a t p a n d a n
Gaviola	ɡ a b j o l a
Gayo	ɡ a j o
Genaro	h e n a ɾ o
Generalao	h e n e ɾ a l a w
Gerodias	h e ɾ o d i j a s
Gerodias	h e ɾ o d j a s
Getafe	h e t a p e
Gilmore	ɡ i l m o ɾ
Gina	d͡ʒ i n a
Girlie	ɡ i ɾ l i
Glenda	ɡ l e n d a
Golosino	ɡ o l o s i n o
Gomez	ɡ o m e s
