Bacolodnon	b a k o l o d n o n
Bascoguin	b a s k o ɡ i n
Batallones	b a t a l j o n e s
Binalbagan	b i n a l b a ɡ a n
Castronuevo	k a s t ɾ o n w e b o
Cordero	k o ɾ d e ɾ o
Delgado	d e l ɡ a d o
Dumangas	d u m a n ɡ a s
Espartero	ʔ e s p a ɾ t e ɾ o
Española	ʔ e s p a n j o l a
Fuentes	p u e n t e s
Guillen	ɡ i l j e n
Himamaylan	h i m a m a j l a n
Hinigaran	h i n i ɡ a ɾ a n
Koronadal	k o ɾ o n a d a l
Magtanong	m a ɡ t a n o ŋ
Manapla	m a n a p l a
Midsayap	m i d s a j a p
Mosquera	m o s k e ɾ a
Negrense	n e ɡ ɾ e n s e
Pacheco	p a t s e k o
Passi	p a s s i
Passinhon	p a s i n h o n
Pototan	p o t o t a n
Pototanon	p o t o t a n o n
Roxas	ɾ o h a s
Sagaynon	s a ɡ a j n o n
Salgado	s a l ɡ a d o
Samillano	s a m i l j a n o
Sindol	s i n d o l
Tamayo	t a m a j o
Villalobos	b i l j a l o b o s
abadesa	ʔ a b a d e s a
abaganhan	ʔ a b a ɡ a n h a n
abakahan	ʔ a b a k a h a n
absuelto	ʔ a b s u e l t o
adorasyon	ʔ a d o ɾ a s j o n
agi	ʔ a ɡ i ʔ
alam	ʔ a l a m
alasoyon	ʔ a l a s o j o n
alhebra	ʔ a l h e b ɾ a
alinga	ʔ a l i ŋ a
almidon	ʔ a l m i d o n
amat	ʔ a m a t
aminhan	ʔ a m i n h a n
anhel	ʔ a n h e l
antipara	ʔ a n t i p a ɾ a
apas	ʔ a p a s
aritmetika	ʔ a ɾ i t m e t i k a
aslum	ʔ a s l u m
bagatnan	b a ɡ a t n a n
bakolod	b a k o l o d
bakud	b a k u d
balabaw	b a l a b a w
balahibo	b a l a h i b o
balhas	b a l h a s
balong	b a l o ŋ
balung	b a l u ŋ
banas	b a n a s
banwahanon	b a n w a h a n o n
baskug	b a s k u ɡ
bayhon	b a j h o n
bayud	b a j u d
bentana	b e n t a n a
bibig	b i b i ɡ
binangon	b i n a ŋ o n
binhi	b i n h i ʔ
bugto	b u ɡ t o ʔ
bulbul	b u l b u l
buluthoan	b u l u t h o ʔ a n
busong	b u s o ŋ
busung	b u s u ŋ
butho	b u t h o ʔ
dagum	d a ɡ u m
daguob	d a ɡ u ʔ o b
dala	d a l a
damo	d a m o ʔ
damol	d a m o l
dapaw	d a p a w
daya	d a j a
dayan	d a j a n
depekto	d e p e k t o
dila	d i l a
diyotay	d i o t a j
diyutay	d i u t a j
dosena	d o s e n a
dulum	d u l u m
dungkaan	d u ŋ k a ʔ a n
duog	d u ʔ o ɡ
ebanghelyo	ʔ e b a ŋ h e l j o
ebanhelyo	ʔ e b a n h e l j o
gali	ɡ a l i ʔ
gansilyo	ɡ a n s i l j o
gata	ɡ a t a ʔ
gatong	ɡ aː t ɔ ŋ
habon	h a b o n
halong	h a l o ŋ
hanginan	h a ŋ i n a n
hanginero	h a ŋ i n e ɾ o
harupot	h a ɾ u p o t
hingudto	h i ŋ u d t o
hiphip	h i p h i p
hoyohoy	h o j o h o j
hubu	h u b u ʔ
hubug	h u b u ɡ
hulugpaan	h u l u ɡ p a ʔ a n
hutik	h u t i k
indi	ʔ i n d i ʔ
isa	i s a
itot	i t ʊ t
kabangis	k a b a ŋ i s
kadumot	k a d u m o t
kadumut	k a d u m u t
kag	k a ɡ
kahas	k a h a s
kahilwayan	k a h i l w a j a n
kahubug	k a h u b u ɡ
kalooy	k a l o ʔ o j
kapid	k a p i d
kapituan	k a p i t u ʔ a n
kasiyaman	k a s i a m a n
katalaka	k a t a l a k a
katulundan	k a t u l u n d a n
kawaluan	k a w a l u ʔ a n
koltson	k o l t s o n
kubrekama	k u b ɾ e k a m a
lakon	l a k o n
lakum	l a k u m
lamokon	l a m o k o n
lanog	l a n o ɡ
lapuyot	l a p u j o t
lasi	l a s i ʔ
layong	l a j o ŋ
maalam	m a ʔ a l a m
maalwan	m a ʔ a l w a n
mabaskug	m a b a s k u ɡ
magdala	m a ɡ d a l a
mango	m a ŋ o ʔ
manong	m a n o ŋ
mga	m ɐ ŋ a
ngaa	ŋ a ʔ a
paa	p a a
pader	p a d e ɾ
paglaum	p a ɡ l a ʔ u m
pali	p a l i ʔ
primo	p ɾ i m o
salaming	s a l a m i ŋ
sidlangan	s i d l a ŋ a n
sielo	s i e l o
sikdo	s i k d o ʔ
sulud	s u l u d
tagiposoon	t a ɡ i p o s o ʔ o n
talabid	t a l a b i d
tatlo	t a t l ɔ
tesorero	t e s o ɾ e ɾ o
tiki	t i k k i ʔ
tiki	t i k k ɛ ʔ
titi	ʔ t i t i
tulug	t u l u ɡ
ugtu	ʔ u ɡ t u
upa	ʔ u p a
upa	ʔ u p a ʔ
urang	ʔ u ɾ a ŋ
utud	ʔ u t u d
wayang	w a j a ŋ
