bumaba	b u m a b a ʔ
tiris	t i ɾ i s
panunuluyan	p a n u n u l u j a n
tradisyunal	t ɾ a d i s j u n a l
sailalim	s a ʔ i l a l i m
hasaan	h a s a ʔ a n
apuwera	ʔ a p u e ɾ a
ikinalat	ʔ i k i n a l a t
antiepileptik	ʔ a n t i ʔ e p i l e p t i k
birhani	b i ɾ h a n i ʔ
mahaba	m a h a b a ʔ
bulantubig	b u l a n t u b i ɡ
pontanel	p o n t a n e l
bukirin	b u k i ɾ i n
matres	m a t ɾ e s
embahador	ʔ e m b a h a d o ɾ
sadaqa	s a d a k a
pinagmulan	p i n a ɡ m u l a n
susuwi	s u s u i ʔ
kriminalidad	k ɾ i m i n a l i d a d
parinlas	p a ɾ i n l a s
anyari	ʔ a n j a ɾ i
pagaaral	p a ɡ ʔ a ʔ a ɾ a l
hurado	h u ɾ a d o
psikoanalista	s i k o ʔ a n a l i s t a
henyo	h e n j o
makapuno	m a k a p u n o ʔ
kontrareklamo	k o n t ɾ a ɾ e k l a m o
arawgabi	ʔ a ɾ a w ɡ a b i
ngiplong	ŋ i p l o ŋ
dalampasigan	d a l a m p a s i ɡ a n
balnibalngawsipatan	b a l n i b a l ŋ a w s i p a t a n
salisi	s a l i s i
dalubkatawan	d a l u b k a t a w a n
hasa	h a s a ʔ
almondigilya	ʔ a l m o n d i ɡ i l j a
maramdamin	m a ɾ a m d a m i n
kasaykasay	k a s a j k a s a j
bahaghari	b a h a ɡ h a ɾ i ʔ
eksklusibo	ʔ e k s k l u s i b o
silat	s i l a t
susian	s u s i ʔ a n
lura	l u ɾ a ʔ
sabila	s a b i l a
angarilia	ʔ a ŋ ɡ a ɾ i l j a
paritadlong	p a ɾ i t a d l o ŋ
grapito	ɡ ɾ a p i t o
taknahaynayan	t a k n a h a j n a j a n
sikote	s i k o t e
nginag	ŋ i n a ɡ
apiapi	ʔ a p i ʔ a p i
arats	ʔ a ɾ a t s
kalaboso	k a l a b o s o
bayograpiya	b a j o ɡ ɾ a p i a
talahanayan	t a l a h a n a j a n
kalanbanyaga	k a l a n b a n j a ɡ a ʔ
ganda	ɡ a n d a
umimik	ʔ u m i m i k
akumula	ʔ a k u m u l a
kalumbahin	k a l u m b a h i n
kuno	k u n o
digain	d i ɡ a ʔ i n
akarolohiya	ʔ a k a ɾ o l o h i a
moromoro	m o ɾ o m o ɾ o
aparato	ʔ a p a ɾ a t o
pandiwang	p a n d i w a ŋ
uyad	ʔ u j a d
bigla	b i ɡ l a ʔ
ibaliktanaw	ʔ i b a l i k t a n a w
tigdashangin	t i ɡ d a s h a ŋ i n
maparam	m a p a ɾ a m
ahedresista	ʔ a h e d ɾ e s i s t a
estremelenggoles	ʔ e s t ɾ e m e l e ŋ ɡ o l e s
matatalino	m a t a t a l i n o
aaa	ʔ a ʔ a ʔ a ʔ
kaibigan	k a ʔ i b i ɡ a n
rubya	ɾ u b j a
manigas	m a n i ɡ a s
magsanhi	m a ɡ s a n h i ʔ
simulasyon	s i m u l a s j o n
unibersalismo	ʔ u n i b e ɾ s a l i s m o
kuwarto	k u a ɾ t o
kar	k a ɾ
maganda	m a ɡ a n d a
imbalido	ʔ i m b a l i d o
botanika	b o t a n i k a
panaog	p a n a ʔ o ɡ
almundigilya	ʔ a l m u n d i ɡ i l j a
alupihan	ʔ a l u p i h a n
patatas	p a t a t a s
tiktik	t i k t i k
magdaraong	m a ɡ d a ɾ a ʔ o ŋ
kungyari	k u ŋ j a ɾ i ʔ
tesoreriya	t e s o ɾ e ɾ i a
palaganapin	p a l a ɡ a n a p i n
ilihis	ʔ i l i h i s
ihian	ʔ i h i ʔ a n
aparsera	ʔ a p a ɾ s e ɾ a
higaan	h i ɡ a ʔ a n
to	t o
kalunoslunos	k a l u n o s l u n o s
soolohiko	s o ʔ o l o h i k o
komisyon	k o m i s j o n
nalik	n a l i k
opinyon	ʔ o p i n j o n
banalin	b a n a l i n
iibigin	ʔ i ʔ i b i ɡ i n
hambaw	h a m b a w
abiyolohiya	ʔ a b i o l o h i a
