sabal	ˈsaː.bɐl
pananamantala	pɐ.n̪ɐ.n̪ɐ.mɐn̪.t̪ɐˈla
eropwerto	ʔɛ.ɾopˈwɛɾ.t̪o
umalis	ʔʊ.mɐˈlɪs
amargado	ʔɐ.mɐɾˈɡaː.d̪o
kilaw	kɪˈlaʊ̯
mahalang	mɐˈhaː.lɐŋ
asintado	ʔɐ.sɪn̪ˈt̪aː.d̪o
pampagana	pɐm.pɐˈɣaː.n̪ɐ
repormista	ɾɛ.poɾˈmis.t̪ɐ
sapi	ˈsaː.pɪʔ
treynta	ˈt̪ɾeɪ̯n̪.t̪ɐ
insekto	ʔɪn̪ˈsɛk.t̪o
haypotesis	haɪ̯ˌpoː.t̪ɛˈsɪs
aseytuna	ʔɐ.seɪ̯ˈt̪uː.n̪ɐ
pangkeyk	pɐŋˈkeɪ̯k
bahid	ˈbaː.hɪd̪̚
bahete	bɐˈhɛː.t̪ɛ
windang	wɪn̪ˈd̪aŋ
maglista	mɐɡ.lɪsˈt̪a
tagyelo	t̪ɐɡˈjɛː.lo
belosidad	bɛ.lo.sɪˈd̪ad̪̚
siban	ˈsiː.bɐn̪
palayaw	pɐˈlaː.jaʊ̯
pusit-lumot	pʊˌsɪt̪ ˈl̪uː.mot̪̚
hindi ko alam	hɪn̪ˌd̪ɪʔ ko ʔɐˈlam
kartamoneda	kɐɾ.t̪ɐ.moˈn̪ɛː.d̪ɐ
lalanghutan	lɐ.lɐŋˈhuː.t̪ɐn̪
damuho	d̪ɐˈmuː.hoʔ
rektipikasyon	ɾɛk.t̪ɪ.pɪ.xɐˈʃon̪
dig-in	d̪ɪɡˈʔɪn̪
tsinoy	t͡ʃɪˈn̪oɪ̯
malinta	mɐ.lɪn̪ˈt̪aʔ
laog	lɐˈʔoɡ̚
lagaring-pating	lɐˌɣaː.ɾɪm pɐˈt̪ɪŋ
kadiwa	kɐˈd̪iː.wɐʔ
biyoimpormatika	bjo.ʔɪm.poɾˌmaː.t̪ɪˈxa
malamuyot	mɐ.lɐˈmuː.jot̪̚
kontekstwal	kon̪.t̪ɛksˈt̪wal
posporo	ˌpos.poˈɾo
mambabatas	mɐm.bɐˈbaː.t̪ɐs
sayap	sɐˈjap̚
dagisik	d̪ɐ.ɣɪˈsɪk̚
tubigbilos	t̪ʊ.bɪɡˈbiː.los
kamaydorea	kɐ.maɪ̯.d̪oˈɾɛː.jɐ
kulaybulog	kʊ.laɪ̯ˈbuː.loɡ̚
hawsyaw	ˈhaʊ̯.ʃaʊ̯
manugang	mɐˈn̪uː.ɣɐŋ
hikbi	hɪkˈbɪ
tagibang	t̪ɐ.ɣɪˈbaŋ
bantuan	bɐn̪.t̪ʊˈʔan̪
may uod sa katawan	maɪ̯ ˌʔuː.ʔod̪ sɐ xɐ.t̪ɐˈwan̪
corista	koˈɾis.t̪ɐ
tesbuk	ˈt̪ɛs.bʊk̚
kometa	koˈmɛː.t̪ɐ
ulyaw	ʔʊlˈjaʊ̯
limon	lɪˈmon̪
lipol	ˈliː.pol
anis	ʔɐˈn̪ɪs
lumaki	lʊ.mɐˈxɪ
simi	ˈsiː.mɪʔ
maluningning	mɐ.lʊ.n̪ɪŋˈn̪ɪŋ
dapat	ˈd̪aː.pɐt̪̚
dampalit	d̪ɐm.pɐˈlɪt̪̚
ibigay	ʔɪ.bɪˈɣaɪ̯
suha	ˈsuː.hɐʔ
ipagwagi	ʔɪ.pɐɡ.wɐˈɣɪʔ
plahelasyon	plɐ.hɛ.lɐˈʃon̪
pluta	ˈpluː.t̪ɐ
kotse-kotsehan	kotˌt͡ʃɛ xotˈt͡ʃɛː.hɐn̪
aporador	ʔɐ.po.ɾɐˈd̪oɾ
kakawate	kɐ.xɐˈwaː.t̪ɛ
sentensya	sɛn̪ˈt̪ɛn̪.ʃɐ
kamyon	kɐmˈjon̪
maagwat	mɐ.ʔɐɡˈwat̪̚
lipa	lɪˈpa
dalatan	d̪ɐˈlaː.t̪ɐn̪
kuwalta	kwɐlˈt̪a
bulyos	bʊlˈjos
aktuwaryo	ʔɐkˈt̪waɾ.jo
embahador	ʔɛm.bɐ.hɐˈd̪oɾ
ambon	ʔɐmˈbon̪
kutad	ˈkuː.t̪ɐd̪̚
dukal	d̪ʊˈxal
husga	hʊsˈɡa
kili-kili	ˌkiː.lɪ ˈkiː.lɪ
otap	ˈʔoː.t̪ɐp̚
soltador	sol.t̪ɐˈd̪oɾ
agrimensor	ʔɐ.ɡɾɪ.mɛn̪ˈsoɾ
mumu	ˈmuː.mʊʔ
alomorp	ˌʔaː.loˈmoɹp
lula	ˈluː.lɐʔ
itanggi	ʔɪ.t̪ɐŋˈɡɪ
talasukatan	t̪ɐˌlaː.sʊ.xɐˈt̪an̪
opensibo	ʔo.pɛn̪ˈsiː.bo
may-akda	maɪ̯.ʔɐkˈd̪aʔ
pastilyas	pɐsˈt̪il.jɐs
aneksyonismo	ʔɐ.n̪ɛk.ʃoˈn̪is.mo
masasamang-loob	mɐ.sɐ.sɐˌman̪ loˈʔob̚
mangikil	mɐˈŋiː.xɪl
kandelero	kɐn̪.d̪ɛˈlɛː.ɾo
lipunang sibil	lɪˌpuː.n̪ɐn̪ sɪˈbɪl
