-g,ŋ,ŋ
-m-,m,m
-ng-,ŋ,ŋ
'day,ˈdaj,ˈd̪aɪ̯
'di,ˈdiʔ,ˈd̪ɪʔ
'eka,ˈʔekaʔ,ˈʔɛː.xɐʔ
'ika,ˈʔikaʔ,ˈʔiː.xɐʔ
'ka,ˈkaʔ,ˈkaʔ
'lika,ˈlika,ˈliː.xɐ
'ng,ŋ,ŋ
'no,ˈno,ˈn̪o
't,t,t̪
'to,ˈto,ˈt̪o
'tsaka,t͡ʃaˈkaʔ,t͡ʃɐˈxaʔ
'y,j,ɪ̯
'yan,ˈjan,ˈjan̪
'yo,ˈjo,ˈjo
'yon,ˈjon,ˈjon̪
a-bente,ʔaˈbente,ʔɐˈbɛn̪.t̪ɛ
a-beynte,ʔaˈbejnte,ʔɐˈbeɪ̯n̪.t̪ɛ
a-disinuwebe,ʔadisinuˈebe,ʔɐd̪ɪ.sɪˈn̪wɛː.bɛ
a-disinwebe,ʔadisinˈwebe,ʔɐd̪ɪ.sɪn̪ˈwɛː.bɛ
a-disiotso,ʔadisiˈʔot͡ʃo,ʔɐd̪ɪ.sɪˈʔoː.t͡ʃo
a-disisais,ʔadisisaˈʔis,ʔɐd̪ɪ.sɪ.sɐˈʔɪs
a-disiseis,ʔadisiseˈʔis,ʔɐd̪ɪ.sɪ.sɛˈʔɪs
a-disisiyete,ʔadisisiˈete,ʔɐd̪ɪ.sɪˈʃɛː.t̪ɛ
a-disisyete,ʔadisisˈjete,ʔɐd̪ɪ.sɪˈʃɛː.t̪ɛ
a-diyes,ʔadiˈes,ʔɐˈd͡ʒɛs
a-dos,ʔaˈdos,ʔɐˈd̪os
a-dose,ʔaˈdose,ʔɐˈd̪oː.sɛ
a-dyes,ʔaˈdjes,ʔɐˈd͡ʒɛs
a-dyis,ʔaˈdjis,ʔɐˈd͡ʒɪs
a-katorse,ʔakaˈtoɾse,ʔɐxɐˈt̪oɾ.sɛ
a-kinse,ʔaˈkinse,ʔɐˈkin̪.sɛ
a-kuwatro,ʔakuˈatɾo,ʔɐˈkwaː.t̪ɾo
a-kwatro,ʔaˈkwatɾo,ʔɐˈkwaː.t̪ɾo
a-nuwebe,ʔanuˈebe,ʔɐˈn̪wɛː.bɛ
a-nwebe,ʔaˈnwebe,ʔɐˈn̪wɛː.bɛ
a-onse,ʔaˈʔonse,ʔɐˈʔon̪.sɛ
a-otso,ʔaˈʔot͡ʃo,ʔɐˈʔoː.t͡ʃo
a-primero,ʔapɾiˈmeɾo,ʔɐpɾɪˈmɛː.ɾo
a-sais,ʔasaˈʔis,ʔɐsɐˈʔɪs
a-seis,ʔaseˈʔis,ʔɐsɛˈʔɪs
a-singko,ʔaˈsiŋko,ʔɐˈsiŋ.ko
a-siyete,ʔasiˈete,ʔɐˈʃɛː.t̪ɛ
a-syete,ʔaˈsjete,ʔɐˈʃɛː.t̪ɛ
a-trenta,ʔaˈtɾenta,ʔɐˈt̪ɾɛn̪.t̪ɐ
a-tres,ʔaˈtɾes,ʔɐˈt̪ɾɛs
a-trese,ʔaˈtɾese,ʔɐˈt̪ɾɛː.sɛ
a-treynta,ʔaˈtɾejnta,ʔɐˈt̪ɾeɪ̯n̪.t̪ɐ
a-uno,ʔaˈʔuno,ʔɐˈʔuː.n̪o
aa,ʔaˈʔaʔ,ʔɐˈʔaʔ
aaa,ˌʔaʔaˈʔaʔ,ˌʔaː.ʔɐˈʔaʔ
aaaban,ˌʔaʔaʔaˈban,ˌʔaː.ʔɐ.ʔɐˈban̪
aab,ʔaˈʔab,ʔɐˈʔab̚
